########## TRIAL 1 ##########
--- Training Tanh model ---
Epoch 8/15 | Train Loss: 0.3151 | Test Loss: 0.8690 | Acc: 0.7476
Epoch 9/15 | Train Loss: 0.2696 | Test Loss: 0.9878 | Acc: 0.7425
Epoch 10/15 | Train Loss: 0.2579 | Test Loss: 1.0565 | Acc: 0.7364
Epoch 11/15 | Train Loss: 0.2335 | Test Loss: 1.0842 | Acc: 0.7399
Epoch 12/15 | Train Loss: 0.2162 | Test Loss: 1.1032 | Acc: 0.7471
Epoch 13/15 | Train Loss: 0.2188 | Test Loss: 1.2068 | Acc: 0.7424
Epoch 14/15 | Train Loss: 0.2253 | Test Loss: 1.2629 | Acc: 0.7308
Epoch 15/15 | Train Loss: 0.2073 | Test Loss: 1.2390 | Acc: 0.7354
--- Training GELU model ---
Epoch 1/15 | Train Loss: 2.3034 | Test Loss: 2.3028 | Acc: 0.1000
Epoch 2/15 | Train Loss: 2.2960 | Test Loss: 2.0503 | Acc: 0.2469
Epoch 3/15 | Train Loss: 1.7030 | Test Loss: 1.3653 | Acc: 0.5035
Epoch 4/15 | Train Loss: 1.1570 | Test Loss: 0.9769 | Acc: 0.6578
Epoch 5/15 | Train Loss: 0.8408 | Test Loss: 0.8000 | Acc: 0.7249
Epoch 6/15 | Train Loss: 0.6227 | Test Loss: 0.7241 | Acc: 0.7521
Epoch 7/15 | Train Loss: 0.4572 | Test Loss: 0.7006 | Acc: 0.7677
Epoch 8/15 | Train Loss: 0.3189 | Test Loss: 0.7272 | Acc: 0.7747
Epoch 9/15 | Train Loss: 0.2021 | Test Loss: 0.8198 | Acc: 0.7721
Epoch 10/15 | Train Loss: 0.1436 | Test Loss: 0.9483 | Acc: 0.7663
Epoch 11/15 | Train Loss: 0.1117 | Test Loss: 0.9376 | Acc: 0.7819
Epoch 12/15 | Train Loss: 0.0873 | Test Loss: 1.0437 | Acc: 0.7676
Epoch 13/15 | Train Loss: 0.0745 | Test Loss: 1.0952 | Acc: 0.7683
Epoch 14/15 | Train Loss: 0.0746 | Test Loss: 1.1515 | Acc: 0.7729
Epoch 15/15 | Train Loss: 0.0613 | Test Loss: 1.2170 | Acc: 0.7725
########## TRIAL 3 ##########
--- Training Tanh model ---
Epoch 1/15 | Train Loss: 1.4977 | Test Loss: 1.2042 | Acc: 0.5789
Epoch 2/15 | Train Loss: 1.0657 | Test Loss: 1.0224 | Acc: 0.6380
Epoch 3/15 | Train Loss: 0.9449 | Test Loss: 1.0091 | Acc: 0.6485
Epoch 4/15 | Train Loss: 0.8775 | Test Loss: 0.9722 | Acc: 0.6654
Epoch 5/15 | Train Loss: 0.8231 | Test Loss: 0.8625 | Acc: 0.7029
Epoch 6/15 | Train Loss: 0.7805 | Test Loss: 0.8553 | Acc: 0.7082
Epoch 7/15 | Train Loss: 0.7427 | Test Loss: 0.8879 | Acc: 0.6983
Epoch 8/15 | Train Loss: 0.7141 | Test Loss: 0.8584 | Acc: 0.7129
Epoch 9/15 | Train Loss: 0.6909 | Test Loss: 0.8962 | Acc: 0.7055
Epoch 10/15 | Train Loss: 0.6652 | Test Loss: 0.8796 | Acc: 0.7030
Epoch 11/15 | Train Loss: 0.6423 | Test Loss: 0.8849 | Acc: 0.7097
Epoch 12/15 | Train Loss: 0.6235 | Test Loss: 0.8507 | Acc: 0.7157
Epoch 13/15 | Train Loss: 0.6136 | Test Loss: 0.8319 | Acc: 0.7201
Epoch 14/15 | Train Loss: 0.5835 | Test Loss: 0.8107 | Acc: 0.7274
Epoch 15/15 | Train Loss: 0.5738 | Test Loss: 0.8635 | Acc: 0.7230
--- Training ReLU model ---
Epoch 1/15 | Train Loss: 2.0067 | Test Loss: 1.6306 | Acc: 0.3940
Epoch 2/15 | Train Loss: 1.3059 | Test Loss: 1.0903 | Acc: 0.6129
Epoch 3/15 | Train Loss: 0.9293 | Test Loss: 0.9408 | Acc: 0.6663
Epoch 4/15 | Train Loss: 0.7272 | Test Loss: 0.8042 | Acc: 0.7250
Epoch 5/15 | Train Loss: 0.5866 | Test Loss: 0.7404 | Acc: 0.7446
Epoch 6/15 | Train Loss: 0.4617 | Test Loss: 0.7333 | Acc: 0.7699
Epoch 7/15 | Train Loss: 0.3724 | Test Loss: 0.7720 | Acc: 0.7593
Epoch 8/15 | Train Loss: 0.3082 | Test Loss: 0.8419 | Acc: 0.7581
Epoch 9/15 | Train Loss: 0.2665 | Test Loss: 0.9477 | Acc: 0.7538
Epoch 10/15 | Train Loss: 0.2368 | Test Loss: 1.0484 | Acc: 0.7508
Epoch 11/15 | Train Loss: 0.2232 | Test Loss: 1.0083 | Acc: 0.7602
Epoch 12/15 | Train Loss: 0.2094 | Test Loss: 1.1327 | Acc: 0.7429
Epoch 13/15 | Train Loss: 0.2173 | Test Loss: 1.2123 | Acc: 0.7414
Epoch 14/15 | Train Loss: 0.2074 | Test Loss: 1.1476 | Acc: 0.7510
Epoch 15/15 | Train Loss: 0.1946 | Test Loss: 1.1955 | Acc: 0.7473
--- Training GELU model ---
Epoch 1/15 | Train Loss: 2.3036 | Test Loss: 2.3030 | Acc: 0.1000
Epoch 2/15 | Train Loss: 2.2673 | Test Loss: 1.9763 | Acc: 0.2577
Epoch 3/15 | Train Loss: 1.6474 | Test Loss: 1.3550 | Acc: 0.5038
Epoch 4/15 | Train Loss: 1.1360 | Test Loss: 0.9990 | Acc: 0.6463
Epoch 5/15 | Train Loss: 0.8114 | Test Loss: 0.7809 | Acc: 0.7309
Epoch 6/15 | Train Loss: 0.6086 | Test Loss: 0.7012 | Acc: 0.7624
Epoch 7/15 | Train Loss: 0.4484 | Test Loss: 0.6994 | Acc: 0.7683
Epoch 8/15 | Train Loss: 0.3093 | Test Loss: 0.7901 | Acc: 0.7629
Epoch 9/15 | Train Loss: 0.1994 | Test Loss: 0.8723 | Acc: 0.7658
Epoch 10/15 | Train Loss: 0.1407 | Test Loss: 0.9002 | Acc: 0.7704
Epoch 11/15 | Train Loss: 0.1042 | Test Loss: 0.9926 | Acc: 0.7713
Epoch 12/15 | Train Loss: 0.0960 | Test Loss: 1.0730 | Acc: 0.7636
Epoch 13/15 | Train Loss: 0.0940 | Test Loss: 1.0402 | Acc: 0.7662
Epoch 14/15 | Train Loss: 0.0740 | Test Loss: 1.0888 | Acc: 0.7726
Epoch 15/15 | Train Loss: 0.0721 | Test Loss: 1.0927 | Acc: 0.7769
########## TRIAL 4 ##########
--- Training Tanh model ---
Epoch 1/15 | Train Loss: 1.4809 | Test Loss: 1.2486 | Acc: 0.5626
Epoch 2/15 | Train Loss: 1.0805 | Test Loss: 1.0219 | Acc: 0.6455
Epoch 3/15 | Train Loss: 0.9489 | Test Loss: 0.9686 | Acc: 0.6657
Epoch 4/15 | Train Loss: 0.8700 | Test Loss: 0.9236 | Acc: 0.6816
Epoch 5/15 | Train Loss: 0.8101 | Test Loss: 0.8963 | Acc: 0.6937
Epoch 6/15 | Train Loss: 0.7687 | Test Loss: 0.9369 | Acc: 0.6830
Epoch 7/15 | Train Loss: 0.7401 | Test Loss: 0.8716 | Acc: 0.7049
Epoch 8/15 | Train Loss: 0.7098 | Test Loss: 0.8692 | Acc: 0.7051
Epoch 9/15 | Train Loss: 0.6809 | Test Loss: 0.8665 | Acc: 0.7082
Epoch 10/15 | Train Loss: 0.6587 | Test Loss: 0.8433 | Acc: 0.7155
Epoch 11/15 | Train Loss: 0.6297 | Test Loss: 0.8635 | Acc: 0.7184
Epoch 12/15 | Train Loss: 0.6117 | Test Loss: 0.8156 | Acc: 0.7313
Epoch 13/15 | Train Loss: 0.5951 | Test Loss: 0.8382 | Acc: 0.7291
